Account,Token Account,Quantity,Percentage
4CGJSD3aQzC7xuJPL1bd7gmfUKcbjLPwerwryods8eJB,9ckULQb8b5eLS6Jjm8E1LP2ZsVbBfi3C68EJTVp3aaig,272936907.2,27.29
4Q4cKXTSVRHFZkPEq8SHxpY1RzC6T4gmfW9LHhpoXsYD,776UfjYgoh5TMcPYpEqcaSmTwtcqXCVbUxBxWrhGxy4,37925572.23,3.79
FCqaBpbFqHXRhuiWdAvc9UFKvoU6JYXbHdoo8tiKGv1Y,ECc5wXoMfYdBg85UARm2hU8b4b1Gm9yLXmnbkVjmdZxj,34277831.56,3.43
AgfpcmYRWQsMb9uWuVtbhFrJnSXEJWSP4PoY9rzWjb76,8ZCMmLB7XtH2xNtrk3izXUKio95QwVdkV416addidxeG,33443468.78,3.34
5XKRRmH9j5VHCgeYN6yFLvuUzKMRATYreVBbfJwt3xu1,2R6yab4eZpzEeukmTiv253RvGubuyeFKBRT4AopXgrR9,26776578.63,2.68
EJEtQRchi1x98rdBxv2drZWXAPyFsZmfwTiZYpHtjJB,3rwjxbWFrLKVogztKgPJECEu1gLHq8ErdSgLUeCH2dHB,23129154.09,2.31
9H26r19B4UeGfUrEd4TaJirkriY1SEnXZHNMLUYPPHFF,DahsHmwE4Y5vdNyzSfniss41HKbm1ZTn8qNnxKLFG1eJ,22775485.73,2.28
Dyf56tDFFWskGzwUzrJ2bV4AsZNoHWyZPYeqSZJTMSRM,ERTbUgrZMLrQc696rkcdfZTtJeEYBXM2pqNgyzFe8eFH,22097537,2.21
2PHgSwYaoFFJqS3ma6oEaGhnP8vDn52e7cDZHyN8Ek9Z,EPzrhqNZ67DK79ssWQTVzXxZdQzz6BMCcJH2pnrrKT7v,19994715.11,2
C8shdQVVSvtzvXTyVBDMeYh3v5H1s1qWev4LFwj3v89a,3QWG794KQoocN9VGJnvNcnKS7EK7aviQTNXTmM5h16ae,19971458.2,2
4LdTpZNaZNPci8P2djUZUF7JLrqkpFxLS5137MGMpRVP,BrNpk7qD218tFeRXamUcw3gfAV3PFNb6fuwZpKy1DTdd,18216750.52,1.82
CHCrpEC4yBJEK322PXFgg85Dp7Eu6VjqWiU7E8AHM5h1,AMiUn3oBQP2oHv7yx959fEy74NHajAX1MRdtCjgRCJQL,17994769.3,1.8
GxgAgUSWAP1DaRnKQygWhmXNkhKeZA5LQrXsbDbgbhW8,7YWNkLN1rcWA9J7wPsryKbd7VbJmZhHUaY4rXzWMDTuQ,17759839.4,1.78
7oEeotaHpihtWFb9DDcZTEqxY8av488uicuKtPx1Xkoo,A4aMxhxcwAKv5az6F3VuPLe72pLTSemuQKqcu7Ej1hWU,17735655.88,1.77
8C5xmzqfdKxRcu7iBbfVFuSjiqUUbHqRPsXT9gyiUEZh,2V7o2NGGXArLriHnYxpKFzwdgppWc3YZLx2aiAjTMCBo,17625969.11,1.76
EpWfBS1GxTrk6GEu3jpnc3HiiWsL994UWqqui5ApyFU8,FB8HdQ8c3rZb17pdwpN3A6MfczxJuQBA8uqorPHfJtPw,15941952.47,1.59
BYWEAtWu39G7jRLs7MskPdivCp7aBwGCCp6VxM4Uw9oR,5gPKrhjmiFVFiqQLTudUSdM8MKdi1rbteTcnXWX3BG4H,15000000,1.5
14astJKoCpHQMFWjtUwARQLcVVTrK1rXWNdYtdT4w7F8,APHBrSEkoZsg7zVohKN2kxnf2hG6vzmQmnd21ENYMtPj,14972752.83,1.5
4ojNkrYW3Ranpjjn2itjxgPpbyNvsG3L6an9zG6J5M6E,5PFRTfWHWa1Ekv1JBryTEUxmc2SBLMPa9fnYqu1QCrf7,14945771.23,1.49
EgxQRiPzB1ukkp3DnBGLJtpGKvX3F2hKp5ZAhWGe6Wqe,88ncznzYBprBX8bqCg4yFsMCooL8tYhvW7WUBBDjBPo4,14523016.64,1.45
2xviLPpPuhYegv5T56J6LMwxPMKSoYNAo9V9gpyFMqmR,Aink3w6V2pHaAxoYFhTSskPEmFCeYyxX3W3VxqDgoToQ,14000000,1.4
8zXJf5G5VDMH5Q2VQP3XJF6TpyxoLccY2RL7845tLUzg,D5kv71ccan7c49zTE5CMXJvUngxXa2QuESXRZGf4df9g,13562644.2,1.36
GDtVFb7u4XRVxHUdbk8Lccw4NVXSH9FNrNmUxFKS3MMC,H49uGtLHM2VhWXFqrZZzyXxWh84xQYnTDQzgYCoiEaWs,12818305.27,1.28
2EoaZ8GT5zaSuJmRQmuPCZezXH9r7ojE49M2sHmJPSJn,4oSenN1yLDNRvNmFmRvAxWg1CHJicYAxhx4cQxjppFce,12467822.83,1.25
BPBpowk2grgf2x95MZkRZhNwVhdW4eEMxkpUqPUk6Ak6,5D8L76VCenZyiXZyYHDHcbgnaYgpeYabD3CKZbfsmjVT,12222222,1.22
9FpiNbFHyfTdMNneiPe8yhZ9rkCjTve52F1hMYUygz2d,7hFhgbZ9hmicmMXxzn6i1tso4RX6VfXM5LryuvwAWrT9,12118686.45,1.21
Au2URuy88bXBsqy6S1agbyCVAbLzfx1XXZkYEzzRxJ8D,56RzEzEYGd4FbVFSnvSL7BE55CBBSLtss7c2mLmDPJYk,11454193.89,1.15
GMgycKrQXMGKBEXsMFUBaZSPgpBZYU9HZrd4vuNnyd4K,AuEZ1aTk49kmXc6s5R6sfJFxmNXEabUvkDzfge3phDAd,10995276.37,1.1
E6NdhjR8fN5SUjvFHAQX2uwpX5mLrYrziJenoK52Mgud,5qf8QE67zopsCW5oQAT5ZR6qxqxZBjNDjRNzmVaqxMXD,10773701.91,1.08
53KNtpyuvA9oCjfTXNCBj1zz2U1NJw4sGpNAWRFJZker,6TEHx4TaavZbA4wvV2APU3djqRJFnCXGJY2WYiorXNLb,10652349.23,1.07
AkmXn6nm4Bb8opsKHf1rKcx1ZkEfoDPdU38szMhTZPuk,4zWwN2pd19waQg5yw6WdxgJmpytxmzzHVKZfC3H6f56Y,10234567,1.02
E6ekh97YaoGtzYpKhZwPcjMFYsz5b4VYbafHLcAYPSAY,87h9f4sK5EsMTw3va24XpVRPMyxBkm5mm2YvaTZBHHzg,9509473.44,0.95
GvKtZuCh8MT1XKrN8aiTdXpqbiWwCiRPFAjWQpyK53Px,Dzk4bf7i3x3he7q1q2DeGSDHps49JV5f7JQmj1PZt6MC,8745102.64,0.87
63fqfs1m2SC3ykdovPkA71ZfoSs84m7iv8yBrtVDpdwS,H6txt4VsDfkHbfGhwx144KwfaLof3V8QPhiKpk4tETMs,8338552.71,0.83
94NLaWWN6RzeUc154baDhmKEyup7HBvG7ggCf2bouTfG,GJ8MGoJyTFdEMBM8M7dpPjkK9m2WncsGpYDaAodJGfia,8122407.23,0.81
5QUiEWq82wRXv5rfQPRGkjQZnYAZqdURPVxbNSgd6YvY,G6YRFhKYSFefBK4RPLwqFrrtxV7JtrCouXe9NbY7Y97q,7173985.13,0.72
9HdVdWaZNjpadcsidxTKw1E2pptooyT7UEbowQBQiwQv,5vw653tmk8x2A3E5neQugybunCDuJN6r1NH2Hj39QhFc,6943977.75,0.69
ALaArt8hgWwvZJda7oktPYwWRYtPFNaQz1dY5CzSH8np,AUkJdkwSbzjHX58N13zjkUPFQnpuyrF6Cs9GPJtmK5Fj,6360594.86,0.64
5CrPeZrL4nSEegDYM2oV9mXThYTnXME4qaGB3Yq6axsD,Fo7gdDdQXxyrGTTagkYPECR2U4y2Gjq1dWffn8amXLJT,6171465.09,0.62
EMRXShzUvLXEJBYJc8bxRMsvrB8wu2G7whZJ9GqmGqzR,ABvQwsEWGfRJxhk2bUSsCcfqav1wKwPU1qDwjm6LJ9E5,5231221.9,0.52
7opWvBoBkaJujtzQZFeRsXqmiVPf4a6jUf5VenZLUqAz,G84gRbE8AcGLe8SzHQHk981aJcB1Mp991aYYwqx83DR7,5117364.9,0.51
9jbrLFNu4ZW2Dqa5VYBu4QdwLi2SMpUhArhHVfdvkMzU,4ivPVAA7RtwiWvxNS5P8aS5ZxQ6H4L8t5G1A7MAB11R9,5005948.16,0.5
9LanpgjsfRqn2mjqeKQbktmB4ejbvsHCEUg6LMEtFfuf,9s3GPpcYWwuUq8PpeyEgpPWtQWHVpst4LwWW526GNUgE,4921705.62,0.49
